word,kana,boin,hinshi
te,て,エ,名詞
Team M,ちーむえむ,イイウエウ,名詞
tella,てら,エア,名詞
tenkla,てんくら,エンウア,名詞
tes,てィーいーえす,イイイイエウ,名詞
th,てィーえっち,イイエッイ,名詞
the c,ざしー,アイイ,名詞
THE C,ざしー,アイイ,名詞
the ex,じいーえっくす,イイイエッウウ,名詞
the first,ざふァーすと,アアアウオ,名詞
THE FIRST,ざふァーすと,アアアウオ,名詞
The International,じいんたーなしょなる,イインアアアオアウ,名詞
the light,ざらいと,アアイオ,名詞
the man,ざまん,アアン,名詞
THE MAN,ざまん,アアン,名詞
the origin,じおりじん,イオイイン,名詞
THE SEIJI,ざせいじ,アエイイ,名詞
The World,ざわーるど,アアアウオ,名詞
The,ざ,ア,名詞
THE3名様,ざさんめいさま,アアンエイアア,名詞
theme,てーま,エエア,名詞
Thompson,とんぷそん,オンウオン,名詞
three,すりー,ウイイ,名詞
Three,すりー,ウイイ,名詞
thropus,とろぷす,オオウウ,名詞
tica,てィか,イア,名詞
TICA,てィか,イア,名詞
Tick,てィっく,イッウ,名詞
Tiffany,てィふァにー,イアイイ,名詞
Time,たいむ,アイウ,名詞
TIME,たいむ,アイウ,名詞
Timp,てィんぱに,インアイ,名詞
TIMS,てィむず,イウウ,名詞
TNSK,てィーえぬえすけい,イイエウエウエイ,名詞
To LOVEる -とらぶる-,とらぶる,オアウウ,名詞
to,とゥ,ウ,名詞
TO,とゥ,ウ,名詞
TOKKO,とっこう,オッオウ,名詞
TOKYO TRIBE,とうきょうとらいぶ,オウオウオアイウ,名詞
生み出し,うみだし,ウイアイ,動詞
TOKYO TRIBE2,とうきょうとらいぶつー,オウオウオアイウウウ,名詞
Tomorrows,とゥもろうす,ウオオウウ,名詞
tomy,とみー,オイイ,名詞
TONO,との,オオ,名詞
Topper,とっぱー,オッアア,名詞
TOUGH,たふ,アウ,名詞
TOW,とう,オウ,名詞
TRIBAL 12,とらいばるとゥえるぶ,オアイアウウエウウ,名詞
Triceratops,とらいせらとっぷす,オアイエアオッウウ,名詞
trunk,とらんく,オアンウ,名詞
Tube,ちゅーぶ,ウウウ,名詞
tugeneko,つげねこ,ウエエオ,名詞
TV,てィーぶい,イイウイ,名詞
TVドラマ,てれびどらま,エエイオアア,名詞
TWIN SIGNAL,ついんしぐなる,ウインイウアウ,名詞
TWIN,ついん,ウイン,名詞
TWIST,ついすと,ウイウオ,名詞
twitter,ついったー,ウイッアア,名詞
Twitter,ついったー,ウイッアア,名詞
two,つゥ,ウ,名詞
Tyler,たいらー,アイアア,名詞
TYPE-MOON,たいぷむーん,アイウウウン,名詞
Tシャツ,てィーしゃつ,イイアウ,名詞
Ｔシャツ,てぃーしゃつ,イイアウ,名詞
U-31,あんだーさーてィわん,アンアアアアイアン,名詞
U1,ゆーわん,ウウアン,名詞
UFO,ゆーえふおー,ウウエウオオ,名詞
ufotable,ゆーふォーてーぶる,ウウオオエエウウ,名詞
UG☆アルティメットガール,あるてィめっとがーる,アウイエッオアアウ,名詞
UHB,ゆーえいちびー,ウウエイイイイ,名詞
UK,ゆーけー,ウウエエ,名詞
ultima,うるてィま,ウウイア,名詞
Ultra Red,うるとられっど,ウウオアエッオ,名詞
UMA,ゆーま,ウウア,名詞
ＵＭＡ,ゆーま,ウウア,名詞
un,あん,アン,名詞
und,あんど,アンオ,名詞
understand,あんだーすたんど,アンアアウアンオ,名詞
une autre,ゆのーとる,ウオオオウ,名詞
upper,あっぱー,アッアア,名詞
Upper,あっぱー,アッアア,名詞
us,あす,アウ,名詞
USA,うさ,ウア,名詞
used,ゆーずど,ウウウオ,名詞
UST,ゆーえすてィー,ウウエウイイ,名詞
UTC,あんだーざかうんたー,アンアアアアウンアア,名詞
U字谷,ゆーじこく,ウウイオウ,名詞
V・B・ローズ,べるべっとぶるーろーず,エウエッオウウウオオウ,名詞
van,ばん,アン,名詞
Vanilla,ばにら,アイア,名詞
VANILLA,ばにら,アイア,名詞
Vassalord.,ヴァっさろーど,アッアオオオ,名詞
Vc,ちェろ,エオ,名詞
VECTOR BALL,べくたーぼーる,エウアアオオウ,名詞
verse,ばーす,アアウ,名詞
VERSION,ばーじょん,アアオン,名詞
vertu,ばーちゅ,アアウ,名詞
Victor Hugo,ヴィくとるゆーごー,イウオウウウオオ,名詞
vin,びん,イン,名詞
VIP,びっぷ,イッウ,名詞
VIPPER,びっぱー,イッアア,名詞
virgo,ヴァるご,アウオ,名詞
VJ,ぶいじェい,ウイエイ,名詞
voce,ヴォーちェ,オオエ,名詞
vu,ぶいゆー,ウイウウ,名詞
VU,ぶいゆー,ウイウウ,名詞
Vガンダム,びくとりーがんだむ,イウオイイアンアウ,名詞
Vジャンプ,ぶいじゃんぷ,ウイアンウ,名詞
W3C,だぶりゅさんしー,アウウアンイイ,名詞
wa,わいるどあーむず,アイウオアアウウ,名詞
WALL,うォーる,オオウ,名詞
WAR,だぶりゅーえーあーる,アウウウエエアアウ,名詞
Warner Bros.,わーなーぶらざーす,アアアアウアアアウ,名詞
WARNING,わーにんぐ,アアインウ,名詞
was,わいどえりあさーち,アイオエイアアアイ,名詞
Wataru,わたる,アアウ,名詞
WAVE,うェいぶ,エイウ,名詞
WAVE,うェーぶ,エエウ,名詞
Wayback Machine,うェいばっくましん,エイアッウアイン,名詞
web,うェぶ,エウ,名詞
Web,うェぶ,エウ,名詞
website,うェぶさいと,エウアイオ,名詞
WEBコミック EDEN,うェぶこみっくえでん,エウオイッウエエン,名詞
Webサイト,うェぶさいと,エウアイオ,名詞
WEBサイト,うェぶさいと,エウアイオ,名詞
west,うえすと,ウエウオ,名詞
Wikimedia,うィきめでィあ,イイエイア,名詞
Wikipedia,うィきぺでィあ,イイエイア,名詞
WILD ADAPTER,わいるどあだぷたー,アイウオアアウアア,名詞
Will,うィる,イウ,名詞
WILL,うィる,イウ,名詞
Windows 95,ういんどうずきゅうじゅうご,ウインオウウウウウウオ,名詞
WING,うィんぐ,インウ,名詞
WINGS,うィんぐす,インウウ,名詞
Wings,ういんぐす,ウインウウ,名詞
with t,ういずてィー,ウイウイイ,名詞
with,うィず,イウ,名詞
With,うィず,イウ,名詞
WIXOSS,うィくろす,イウオウ,名詞
Wizard,うィざーど,イアアオ,名詞
WJ,だぶりゅーじェい,アウウウエイ,名詞
wogura,をぐら,オウア,名詞
Wonder,わんだー,アンアア,名詞
wonders,わんだーす,アンアアウ,名詞
WOO,うー,ウウ,名詞
WORKING!!,わーきんぐ,アアインウ,名詞
World 4u_,わーるどふォーゆー,アアウオオオウウ,名詞
World,わーるど,アアウオ,名詞
WORLD,わーるど,アアウオ,名詞
WORST,わーすと,アアウオ,名詞
wsc,だぶりゅえすしー,アウウエウイイ,名詞
www,すりーだぶりゅー,ウイイアウウウ,名詞
www,だぶりゅだぶりゅだぶりゅー,アウウアウウアウウウ,名詞
Wネーム,だぶるねーむ,アウウエエウ,名詞
山,やま,アア,名詞
Ｗ杯,わーるどかっぷ,アアウオアッウ,名詞
X,えっくす,エッウウ,名詞
XEBEC,じーべっく,イイエッウ,名詞
Xenos,くせのす,ウエオウ,名詞
XG,えっくすじー,エッウウイイ,名詞
XHTML,えっくすえいちてィーえむえる,エッウウエイイイイエウエウ,名詞
Xi,くろっしィ,ウオッイ,名詞
XXXHOLiC,ほりっく,オイッウ,名詞
XYZ-1,えっくすわいぜっとわん,エッウウアイエッオアン,名詞
X線,えっくすせん,エッウウエン,名詞
Ya-Ya-yahがやってくる!,やーやーやーがやってくる,アアアアアアアアッエウウ,名詞
Yahoo! JAPAN,やふーじゃぱん,アウウアアン,名詞
Yahoo!ニュース,やふーにゅーす,アウウウウウ,名詞
YAIBA,やいば,アイア,名詞
YASHA,やしゃ,アア,名詞
YATAGARASU,やたがらす,アアアアウ,名詞
YAWARA!,やわら,アアア,名詞
YELLOW,いえろー,イエオオ,名詞
Yoshika,よしか,オイア,名詞
Yoshino,よしの,オイオ,名詞
You,ゆう,ウウ,名詞
YOU,ゆう,ウウ,名詞
YOUNG KING,やんぐきんぐ,アンウインウ,名詞
YOUNG YOU,やんぐゆー,アンウウウ,名詞
Youtube,ゆーちゅーぶ,ウウウウウ,名詞
YouTube,ゆーちゅーぶ,ウウウウウ,名詞
Youtuber,ゆーちゅーばー,ウウウウアア,名詞
YUI,ゆい,ウイ,名詞
yukiusa,ゆきうさ,ウイウア,名詞
Y氏の隣人,わいしのりんじん,アイイオインイン,名詞
Y十M,わいじゅうえむ,アイウウエウ,名詞
ZERO-SUM,ぜろさむ,エオアウ,名詞
ZERO,ぜろ,エオ,名詞
ZETMAN,ぜっとまん,エッオアン,名詞
Zipper,じっぱー,イッアア,名詞
ZOIDS,ぞいど,オイオ,名詞
ZOMBIE-LOAN,ぞんびろーん,オンイオオン,名詞
ZONE,ぞーん,オオン,名詞
ZOO KEEPER,ずーきーぱー,ウウイイアア,名詞
ZUN,ずん,ウン,名詞
あ・ぶ・な・いラブソング,あぶないらぶそんぐ,アウアイアウオンウ,名詞
あfろ,あふろ,アウオ,名詞
あぁ！,あァ,ア,名詞
あゝ,ああ,アア,感動詞
アア,ああ,アア,名詞
あーあ,あーあ,アアア,感動詞
アアア,あああ,アアア,名詞
ああいう,ああいう,アアイウ,指示詞
アーカイブ,あーかいぶ,アアアイウ,名詞
アーク,あーく,アアウ,名詞
アークザラッド,あーくざらっど,アアウアアッオ,名詞
アークザラッドII,あーくざらっどつー,アアウアアッオウウ,名詞
アーケードゲーマーふぶき,あーけーどげーまーふぶき,アアエエオエエアアウウイ,名詞
アーケオケラトプス,あーけおけらとぷす,アアエオエアオウウ,名詞
アーケオシリス,あーけおしりす,アアエオイイウ,名詞
アーケオルニトミムス,あーけおるにとみむす,アアエオウイオイウウ,名詞
アーケノサウルス,あーけのさうるす,アアエオアウウウ,名詞
アーケロン,あーけろん,アアエオン,名詞
アーサー,あーさー,アアアア,名詞
アーサー王,あーさーおう,アアアアオウ,名詞
アーシア,あーしあ,アアイア,名詞
アーシアン,あーしあん,アアイアン,名詞
ああして,ああして,アアイエ,指示詞
アース,あーす,アアウ,名詞
アースロプレウラ,あーすろぷれうら,アアウオウエウア,名詞
アーチ,あーち,アアイ,名詞
アーチェリーボーイ,あーちェりーぼーい,アアエイイオオイ,名詞
アーッ,あーっ,アアッ,名詞
ああっ女神さまっ,ああっめがみさまっ,アアッエアイアアッ,名詞
アーティスト,あーてィすと,アアイウオ,名詞
アーティスト,あーてぃすと,アアイウオ,名詞
アート,あーと,アアオ,名詞
アーネスト・ヘミングウェイ,あーねすとへみんぐうェい,アアエウオエインウエイ,名詞
アーノンクール,あーのんくーる,アアオンウウウ,名詞
アームズ,あーむず,アアウウ,名詞
アームズマガジン,あーむずまがじん,アアウウアアイン,名詞
アーメン,あーめん,アアエン,名詞
アーモンド,あーもんど,アアオンオ,名詞
アーリ,あーり,アアイ,名詞
アール,あーる,アアウ,名詞
アールズ,あーるず,アアウウ,名詞
ああ一郎,ああいちろう,アアイイオウ,名詞
ああ探偵事務所,ああたんていじむしょ,アアアンエイイウオ,名詞
ああ播磨灘,ああはりまなだ,アアアイアアア,名詞
アイ・シティ,あいしてィ,アイイイ,名詞
アイ,あい,アイ,名詞
あいあい,あいあい,アイアイ,名詞
アイアコス,あいあこす,アイアオウ,名詞
アイアス,あいあす,アイアウ,名詞
アイアムアヒーロー,あいあむあひーろー,アイアウアイイオオ,名詞
アイアンナイト,あいあんないと,アイアンアイオ,名詞
アイアンマッスル,あいあんまっする,アイアンアッウウ,名詞
アイイー,あいいー,アイイイ,名詞
アイーダ,あいーだ,アイイア,名詞
あいうえお,あいうえお,アイウエオ,名詞
アイカケラトプス,あいかけらとぷす,アイアエアオウウ,名詞
アイガモ,あいがも,アイアオ,名詞
あいかわももこ,あいかわももこ,アイアアオオオ,名詞
あいかわら,あいかわら,アイアアア,動詞
アイギナ,あいぎな,アイイア,名詞
アイゲウス,あいげうす,アイエウウ,名詞
アイゴ,あいご,アイオ,名詞
あいこら,あいこら,アイオア,名詞
アイサ,あいさ,アイア,名詞
アイザメ,あいざめ,アイアエ,名詞
アイシールド21,あいしーるどにじゅういち,アイイイウオイウウイイ,名詞
アイシテル,あいしてる,アイイエウ,名詞
アイシュアイア,あいしゅあいあ,アイウアイア,名詞
アイス,あいす,アイウ,名詞
アイスクリーム,あいすくりーむ,アイウウイイウ,名詞
アイスフォレスト,あいすふォれすと,アイウオエウオ,名詞
アイスポットシクリッド,あいすぽっとしくりっど,アイウオッオイウイッオ,名詞
アイスランドカモメ,あいすらんどかもめ,アイウアンオアオエ,名詞
アイスランド王国,あいすらんどおうこく,アイウアンオオウオウ,名詞
アイゼンハワー,あいぜんはわー,アイエンアアア,名詞
アイソスタシー,あいそすたしー,アイオウアイイ,名詞
アイソン,あいそん,アイオン,名詞
あいた,あいた,アイア,感動詞
アイタイ,あいたい,アイアイ,名詞
アイダハル,あいだはる,アイアアウ,名詞
あいたま,あいたま,アイアア,名詞
アイツ,あいつ,アイウ,名詞
あいつとララバイ,あいつとららばい,アイウオアアアイ,名詞
あいつはアインシュタイン,あいつはあいんしゅたいん,アイウアアインウアイン,名詞
あいつら,あいつら,アイウア,名詞
アイデア,あいであ,アイエア,名詞
アイディア,あいでィあ,アイイア,名詞
アイテム,あいてむ,アイエウ,名詞
アイド,あいど,アイオ,名詞
アイドル,あいどる,アイオウ,名詞
あいどるし隊っ,あいどるしたいっ,アイオウイアイッ,名詞
アイドルのあかほん,あいどるのあかほん,アイオウオアアオン,名詞
あいない,あいない,アイアイ,形容詞
アイナメ,あいなめ,アイアエ,名詞
アイヌ,あいぬ,アイウ,名詞
アイヌの歴史,あいぬのれきし,アイウオエイイ,名詞
アイネ・クライネ,あいねくらいね,アイエウアイエ,名詞
アイノコトバ,あいのことば,アイオオオア,名詞
アイフィンガーガエル,あいふィんがーがえる,アイインアアアエウ,名詞
アイブリ,あいぶり,アイウイ,名詞
アイベックス,あいべっくす,アイエッウウ,名詞
アイホシモドキ,あいほしもどき,アイオイオオイ,名詞
あいまいだ,あいまいだ,アイアイア,形容詞
あいまいで,あいまいで,アイアイエ,形容詞
あいまいな,あいまいな,アイアイア,形容詞
あいまいみー,あいまいみー,アイアイイイ,名詞
あいや,あいや,アイア,名詞
あいやーぼーる,あいやーぼーる,アイアアオオウ,名詞
アイリ,あいり,アイイ,名詞
あいりんドリーム,あいりんどりーむ,アイインオイイウ,名詞
アイルトン・セナ,あいるとんせな,アイウオンエア,名詞
アイルランド,あいるらんど,アイウアンオ,名詞
アイルランド自由国,あいるらんどじゆうこく,アイウアンオイウウオウ,名詞
アイルランド人,あいるらんどじん,アイウアンオイン,名詞
アイレボ,あいれぼ,アイエオ,名詞
アイロニー,あいろにー,アイオイイ,名詞
アイロン,あいろん,アイオン,名詞
アウ,あう,アウ,名詞
アヴァケラトプス,あヴァけらとぷす,アアエアオウウ,名詞
アヴィアティラニス,あヴィあてィらにす,アイアイアイウ,名詞
アヴィサウルス,あヴィさうるす,アイアウウウ,名詞
アヴィペス,あヴィぺす,アイエウ,名詞
アヴィミムス,あヴィみむす,アイイウウ,名詞
アヴェ・マリア,あヴェまりあ,アエアイア,名詞
アヴェンティーノ,あヴェんてィーの,アエンイイオ,名詞
アヴェンティヌス,あヴェんてィぬす,アエンイウウ,名詞
アウカサウルス,あうかさうるす,アウアアウウウ,名詞
アウグスチヌス,あうぐすちぬす,アウウウイウウ,名詞
アウグスト,あうぐすと,アウウウオ,名詞
アウグストゥス,あうぐすとゥす,アウウウウウ,名詞
アウス,あうす,アウウ,名詞
アウステルリッツ,あうすてるりっつ,アウウエウイッウ,名詞
アウステルリッツの戦い,あうすてるりっつのたたかい,アウウエウイッウオアアアイ,名詞
アウストラロヴェナトル,あうすとらろヴェなとる,アウウオアオエアオウ,名詞
アウストラロドクス,あうすとらろどくす,アウウオアオオウウ,名詞
アウストラロバルバルス,あうすとらろばるばるす,アウウオアオアウアウウ,名詞
アウストラロピテクス・アファレンシス,あうすとらろぴてくすあふァれんしす,アウウオアオイエウウアアエンイウ,名詞
アウストラロピテクス・アフリカヌス,あうすとらろぴてくすあふりかぬす,アウウオアオイエウウアウイアウウ,名詞
アウストラロピテクス・ガルヒ,あうすとらろぴてくすがるひ,アウウオアオイエウウアウイ,名詞
アウストラロピテクス・バーレルガザリ,あうすとらろぴてくすばーれるがざり,アウウオアオイエウウアアエウアアイ,名詞
アカネ,あかね,アアエ,名詞
アウストラロピテクス,あうすとらろぴてくす,アウウオアオイエウウ,名詞
アウストロサウルス,あうすとろさうるす,アウウオオアウウウ,名詞
アウターガンダム,あうたーがんだむ,アウアアアンアウ,名詞
アウターゾーン,あうたーぞーん,アウアアオオン,名詞
アウト・ロー,あうとろー,アウオオオ,名詞
アウト,あうと,アウオ,名詞
アウブリソドン,あうぶりそどん,アウウイオオン,名詞
アウロラ,あうろら,アウオア,名詞
アウロラケラトプス,あうろらけらとぷす,アウオアエアオウウ,名詞
アウロルニス,あうろるにす,アウオウイウ,名詞
あうん,あうん,アウン,名詞
アエオロサウルス,あえおろさうるす,アエオオアウウウ,名詞
あえか,あえか,アエア,名詞
アエネアス,あえねあす,アエエアウ,名詞
アエピカメルス,あえぴかめるす,アエイアエウウ,名詞
アエピサウルス,あえぴさうるす,アエイアウウウ,名詞
アエロステオン,あえろすておん,アエオウエオン,名詞
アオ,あお,アオ,名詞
アオアシ,あおあし,アオアイ,名詞
アオアシシギ,あおあししぎ,アオアイイイ,名詞
アオイ,あおい,アオイ,名詞
あおいちゃんとヤマトくん,あおいちゃんとやまとくん,アオイアンオアアオウン,名詞
あおいちゃんパニック!,あおいちゃんぱにっく,アオイアンアイッウ,名詞
アオイホノオ,あおいほのお,アオイオオオ,名詞
アオウオ,あおうお,アオウオ,名詞
アオウミガメ,あおうみがめ,アオウイアエ,名詞
アオガエル,あおがえる,アオアエウ,名詞
あおかった,あおかった,アオアッア,形容詞
アオカナヘビ,あおかなへび,アオアアエイ,名詞
アオキ,あおき,アオイ,名詞
あおきけい,あおきけい,アオイエイ,名詞
アオギス,あおぎす,アオイウ,名詞
あおきてつお,あおきてつお,アオイエウオ,名詞
アオクサカメムシ,あおくさかめむし,アオウアアエウイ,名詞
アオゲラ,あおげら,アオエア,名詞
アオサギ,あおさぎ,アオアイ,名詞
あおざくら 防衛大学校物語,あおざくらぼうえいだいがっこうものがたり,アオアウアオウエイアイアッオウオオアアイ,名詞
アオサハギ,あおさはぎ,アオアアイ,名詞
アオザメ,あおざめ,アオアエ,名詞
アオジ,あおじ,アオイ,名詞
アオシギ,あおしぎ,アオイイ,名詞
アオショウビン,あおしょうびん,アオオウイン,名詞
アオスジトカゲ,あおすじとかげ,アオウイオアエ,名詞
アオダイ,あおだい,アオアイ,名詞
アオダイショウ,あおだいしょう,アオアイオウ,名詞
アオタナゴ,あおたなご,アオアアオ,名詞
アオダモ,あおだも,アオアオ,名詞
アオチビキ,あおちびき,アオイイイ,名詞
アオツラカツオドリ,あおつらかつおどり,アオウアアウオオイ,名詞
止そ,よそ,オオ,動詞
あおと響,あおとひびき,アオオイイイ,名詞
あおのなち,あおのなち,アオオアイ,名詞
アオバズク,あおばずく,アオアウウ,名詞
アオハタ,あおはた,アオアア,名詞
アオハダ,あおはだ,アオアア,名詞
アオバダイ,あおばだい,アオアアイ,名詞
アオバト,あおばと,アオアオ,名詞
アオバハゴロモ,あおばはごろも,アオアアオオオ,名詞
アオブダイ,あおぶだい,アオウアイ,名詞
アオベラ,あおべら,アオエア,名詞
アオマダラウミヘビ,あおまだらうみへび,アオアアアウイエイ,名詞
アオミシマ,あおみしま,アオイイア,名詞
アオメエソ,あおめえそ,アオエエオ,名詞
アオヤガラ,あおやがら,アオアアア,名詞
あおやぎ孝夫,あおやぎたかお,アオアイアアオ,名詞
あおる,あおる,アオウ,動詞
あお向け,あおむけ,アオウエ,名詞
アカ,あか,アア,名詞
アガ,あが,アア,名詞
あかあか,あかあか,アアアア,副詞
アカアジ,あかあじ,アアアイ,名詞
アカアシカツオドリ,あかあしかつおどり,アアアイアウオオイ,名詞
アカアシシギ,あかあししぎ,アアアイイイ,名詞
アカアシチョウゲンボウ,あかあしちょうげんぼう,アアアイオウエンオウ,名詞
アカアシミズナギドリ,あかあしみずなぎどり,アアアイイウアイオイ,名詞
アカアシミツユビカモメ,あかあしみつゆびかもめ,アアアイイウウイアオエ,名詞
アカアマダイ,あかあまだい,アアアアアイ,名詞
あがい,あがい,アアイ,動詞
アカイイト,あかいいと,アアイイオ,名詞
アカイサキ,あかいさき,アアイアイ,名詞
アカイシサンショウウオ,あかいしさんしょううお,アアイイアンオウウオ,名詞
アカイナケファルス,あかいなけふァるす,アアイアエアウウ,名詞
アカウオ,あかうお,アアウオ,名詞
アカウソ,あかうそ,アアウオ,名詞
アカウミガメ,あかうみがめ,アアウイアエ,名詞
アカウント,あかうんと,アアウンオ,名詞
アカエイ,あかえい,アアエイ,名詞
アカエソ,あかえそ,アアエオ,名詞
アカエリカイツブリ,あかえりかいつぶり,アアエイアイウウイ,名詞
アカエリヒレアシシギ,あかえりひれあししぎ,アアエイイエアイイイ,名詞
アカオネッタイチョウ,あかおねったいちょう,アアオエッアイオウ,名詞
アカガエル,あかがえる,アアアエウ,名詞
アカガシラカラスバト,あかがしらからすばと,アアアイアアアウアオ,名詞
アカガシラサギ,あかがしらさぎ,アアアイアアイ,名詞
アカガゼル,あかがぜる,アアアエウ,名詞
アカカマス,あかかます,アアアアウ,名詞
アカガレイ,あかがれい,アアアエイ,名詞
アカギ,あかぎ,アアイ,名詞
あがき,あがき,アアイ,名詞
アカギツネ,あかぎつね,アアイウエ,名詞
アカギンザメ,あかぎんざめ,アアインアエ,名詞
アカククリ,あかくくり,アアウウイ,名詞
アカクジラウオダマシ,あかくじらうおだまし,アアウイアウオアアイ,名詞
アカグツ,あかぐつ,アアウウ,名詞
アカゲザル,あかげざる,アアエアウ,名詞
アカゲラ,あかげら,アアエア,名詞
アカゴチ,あかごち,アアオイ,名詞
アカコッコ,あかこっこ,アアオッオ,名詞
アガサ・クリスティーの名探偵ポワロとマープル,あがさくりすてィーのめいたんていぽわろとまーぷる,アアアウイウイイオエイアンエイオアオオアアウウ,名詞
アカザ,あかざ,アアア,名詞
アカザ科,あかざか,アアアア,名詞
アカシタビラメ,あかしたびらめ,アアイアイアエ,名詞
アカシデ,あかしで,アアイエ,名詞
アカシュモクザメ,あかしゅもくざめ,アアウオウアエ,名詞
アカショウビン,あかしょうびん,アアオウイン,名詞
アカスジカメムシ,あかすじかめむし,アアウイアエウイ,名詞
アガタウマス,あがたうます,アアアウアウ,名詞
アカタチ,あかたち,アアアイ,名詞
アガタ気象観測所,あがたきしょうかんそくじょ,アアアイオウアンオウオ,名詞
あかちゃんのドレイ。,あかちゃんのどれい,アアアンオオエイ,名詞
あかつ,あかつ,アアウ,名詞
あかつきけいいち,あかつきけいいち,アアウイエイイイ,名詞
アカツキハギ,あかつきはぎ,アアウイアイ,名詞
あかつき戦闘隊,あかつきせんとうたい,アアウイエンオウアイ,名詞
あきれ果て,あきれはて,アイエアエ,動詞
アカツクシガモ,あかつくしがも,アアウウイアオ,名詞
アカデミー,あかでみー,アアエイイ,名詞
アカテン教師梨本小鉄,あかてんきょうしなしもとこてつ,アアエンオウイアイオオオエウ,名詞
アカトラギス,あかとらぎす,アアオアイウ,名詞
アカトンボ,あかとんぼ,アアオンオ,名詞
アカナ,あかな,アアア,名詞
あがなお,あがなお,アアアオ,動詞
アカナマダ,あかなまだ,アアアアア,名詞
あかねこの悪魔,あかねこのあくま,アアエオオアウア,名詞
アカネズミ,あかねずみ,アアエウイ,名詞
あかねちゃん,あかねちゃん,アアエアン,名詞
あかねちゃんOVER DRIVE,あかねちゃんおーばーどらいぶ,アアエアンオオアアオアイウ,名詞
アカノドカルガモ,あかのどかるがも,アアオオアウアオ,名詞
アカハシハジロ,あかはしはじろ,アアアイアイオ,名詞
アカハジロ,あかはじろ,アアアイオ,名詞
アカハゼ,あかはぜ,アアアエ,名詞
アカハタ,あかはた,アアアア,名詞
アカハネナガウンカ,あかはねながうんか,アアアエアアウンア,名詞
アカハラ,あかはら,アアアア,名詞
アカハライモリ,あかはらいもり,アアアアイオイ,名詞
アカハラダカ,あかはらだか,アアアアアア,名詞
アカヒゲ,あかひげ,アアイエ,名詞
アカヒメジ,あかひめじ,アアイエイ,名詞
アカヒレ,あかひれ,アアイエ,名詞
アカヒレタビラ,あかひれたびら,アアイエアイア,名詞
アガペイズ,あがぺいず,アアエイウ,名詞
アカベラ,あかべら,アアエア,名詞
アカボウクジラ,あかぼうくじら,アアオウウイア,名詞
アカボウズ,あかぼうず,アアオウウ,名詞
あかほりさとる,あかほりさとる,アアオイアオウ,名詞
アカマシコ,あかましこ,アアアイオ,名詞
アカマタ,あかまた,アアアア,名詞
アカマダラ,あかまだら,アアアアア,名詞
アカマツ,あかまつ,アアアウ,名詞
アカマツカサ,あかまつかさ,アアアウアア,名詞
アカマンボウ,あかまんぼう,アアアンオウ,名詞
アカミミガメ,あかみみがめ,アアイイアエ,名詞
アカムツ,あかむつ,アアウウ,名詞
アカメ,あかめ,アアエ,名詞
アカメが斬る!,あかめがきる,アアエアイウ,名詞
アカメバル,あかめばる,アアエアウ,名詞
アカメフグ,あかめふぐ,アアエウウ,名詞
アカモズ,あかもず,アアオウ,名詞
アカモンガラ,あかもんがら,アアオンアア,名詞
アカヤガラ,あかやがら,アアアアア,名詞
アカヤマドリ,あかやまどり,アアアアオイ,名詞
アカラ,あから,アアア,名詞
あからさま,あからさま,アアアアア,名詞
あからさまな,あからさまな,アアアアアア,形容詞
あからさまに,あからさまに,アアアアアイ,形容詞
あかるう,あかるう,アアウウ,形容詞
あかん,あかん,アアン,感動詞
アカントーデス,あかんとーです,アアンオオエウ,名詞
アカントステガ,あかんとすてが,アアンオウエア,名詞
アカントフォリス,あかんとふォりす,アアンオオイウ,名詞
アカントメリディオン,あかんとめりでィおん,アアンオエイイオン,名詞
あかんべえ,あかんべえ,アアンエエ,名詞
アキ,あき,アイ,名詞
アキツ,あきつ,アイウ,名詞
あきづき空太,あきづきそらた,アイウイオアア,名詞
あきな,あきな,アイア,名詞
あきなう,あきなう,アイアウ,動詞
アキノキリンソウ,あきのきりんそう,アイオイインオウ,名詞
アキノノゲシ,あきののげし,アイオオエイ,名詞
アキバザイジュウ,あきばざいじゅう,アイアアイウウ,名詞
アキハバラ@DEEP,あきはばらあっとでィーぷ,アイアアアアッオイイウ,名詞
アキハル,あきはる,アイアウ,名詞
アキヤマ香,あきやまかおり,アイアアアオイ,名詞
アキュートアクセント,あきゅーとあくせんと,アウウオアウエンオ,名詞
アキラ,あきら,アイア,名詞
アキラとひより,あきらとひより,アイアオイオイ,名詞
アキラのうどんはサヌキもり!!,あきらのうどんはさぬきもり,アイアオウオンアアウイオイ,名詞
アギリサウルス,あぎりさうるす,アイイアウウウ,名詞
アキレウス,あきれうす,アイエウウ,名詞
アキレサウルス,あきれさうるす,アイエアウウウ,名詞
アキレス,あきれす,アイエウ,名詞
あきれ返る,あきれかえる,アイエアエウ,動詞
アキロバトル,あきろばとる,アイオアオウ,名詞
アク,あく,アウ,名詞
アグ,あぐ,アウ,名詞
アクイロプス,あくいろぷす,アウイオウウ,名詞
アクジキ,あくじき,アウイイ,名詞
アクシズのハマーンさん,あくしずのはまーんさん,アウイウオアアアンアン,名詞
アグジャケラトプス,あぐじゃけらとぷす,アウアエアオウウ,名詞
アクション,あくしょん,アウオン,名詞
アグスティニア,あぐすてィにあ,アウウイイア,名詞
アクセサリー,あくせさりー,アウエアイイ,名詞
アクセス,あくせす,アウエウ,名詞
アクセル,あくせる,アウエウ,名詞
アクセント,あくせんと,アウエンオ,名詞
